Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Kadamba Transport Corporation Limited (KTCL) - 89821,A/C Sleeper (2+1),19:15,10h 35m,05:50,3.7,INR 1400,12 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),21:00,10h 30m,07:30,4.8,INR 900,7 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Atmaram Gobus,VE A/C Sleeper (2+1),22:30,10h 15m,08:45,4.6,INR 900,9 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,AdAtmaram Gobus,Bharat Benz A/C Sleeper (2+1),23:30,09h 15m,08:45,4.7,INR 900,13 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels Club,Non A/C Seater / Sleeper (2+1),21:20,11h 30m,08:50,4.5,INR 500,27 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Travels Benz,Bharat Benz A/C Sleeper (2+1),21:05,11h 25m,08:30,4.5,INR 1000,21 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:00,10h 35m,07:35,4.5,INR 900,11 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,AdIntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:35,10h 50m,08:25,4.2,INR 600,32 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Amrutyog,A/C Sleeper (2+1),22:05,11h 25m,09:30,4.4,INR 900,21 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray National Express,NON A/C Sleeper (2+1),20:00,11h 15m,07:15,4.4,INR 700,24 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Vip Yellows,A/C Sleeper (2+1),20:35,11h 55m,08:30,4.4,INR 900,19 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Ashray Atmaram Divine,NON A/C Sleeper (2+1),19:45,11h 30m,07:15,4.4,INR 700,20 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Anand Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),22:30,10h 30m,09:00,4.4,INR 1001,24 Seats available
Pune to Goa,https://www.redbus.in/bus-tickets/pune-to-goa,Indumati Travels,A/C Sleeper (2+1),22:20,10h 10m,08:30,4.4,INR 900,14 Seats available
