Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-COB-E2-3:00 pm - 171781,Non AC Seater (2+3),15:00,13h 20m,04:20,3.8,INR 450,39 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-APD-E1-04:00 PM - 177587,Non AC Seater (2+3),16:00,13h 50m,05:50,3.6,INR 450,41 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,NBSTC-KOL-RAI-SLG-RKT-18:30 - 176651,Non AC Seater (2+2),18:30,12h 00m,06:30,3.7,INR 486,7 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,SBSTC-KOLKATA - SILIGURI - VOLVO - 20:05 SPL FARE - 4020,Volvo Multi-Axle A/C Seater (2+2),20:05,09h 55m,06:00,3.5,INR 910,43 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:30,12h 55m,09:25,4.8,INR 1800,26 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,12h 55m,07:25,4.7,INR 1500,5 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Easy Ride,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:50,12h 55m,08:45,4.7,INR 1500,14 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),19:15,13h 00m,08:15,4.7,INR 1760,16 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,12h 45m,07:30,4.7,INR 1499,26 Seats available
Kolkata to Siliguri,https://www.redbus.in/bus-tickets/kolkata-to-siliguri,Greenline,Volvo 9600 A/C Seater/Sleeper (2+1),19:30,13h 15m,08:45,4.5,INR 1200,27 Seats available
